source_file,file_type,raw_rows,detected_label_columns,detected_text_columns,detected_id_columns,detected_date_columns,usable_for_h1_presence,reason_if_not_usable
20260615wendy's/result/wendys_human168_tfidf_logreg_full_predictions.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human168_tfidf_logreg_h1_ols_results.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human168_tfidf_logreg_validation_results.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_coding_disagreement_audit.csv,csv,6,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_coding_label_distribution.csv,csv,4,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_coding_source_distribution.csv,csv,3,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_coding_type_distribution.csv,csv,19,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_coding_type_value_audit.csv,csv,22,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_tfidf_logreg_diagnostics.csv,csv,30,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_tfidf_logreg_error_audit.csv,csv,68,human_humor_binary;humor,text,id;tweet_url,,yes,
20260615wendy's/result/wendys_human_tfidf_logreg_full_predictions.csv,csv,978,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_tfidf_logreg_h1_ols_results.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_human_tfidf_logreg_validation_results.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_humor_frequency_proportion_diagnostics.csv,csv,39,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_humor_frequency_proportion_monthly.csv,csv,80,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_humor_frequency_proportion_quarterly.csv,csv,28,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_humor_presence_scores.csv,csv,978,,text,id;tweet_url,created_at,no,no explicit H1 presence label column
20260615wendy's/result/wendys_humor_presence_scores.jsonl,jsonl,0,,,,,no,read_error: Unterminated string starting at: line 1 column 151 (char 150)
20260615wendy's/result/wendys_humor_review_sheet.csv,csv,978,human_humor_label;human_humor_binary;final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/result/wendys_humor_ttest_v2_results.csv,csv,14,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_model_based_humor_4type_confusion_matrix.csv,csv,4,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_model_based_humor_4type_validation_results.csv,csv,5,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_model_based_humor_type_confusion_matrix.csv,csv,2,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_model_based_humor_type_diagnostics.csv,csv,1,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_model_based_humor_type_feature_weights.csv,csv,100,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_model_based_humor_type_full_predictions.csv,csv,978,final_humor_binary,text,id;tweet_url,,yes,
20260615wendy's/result/wendys_model_based_humor_type_oof_error_audit.csv,csv,278,,text,id;tweet_url,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_model_based_humor_type_validation_results.csv,csv,18,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_report_ready_star_validation_checks.csv,csv,31,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_results_5_1_5_2_validation_checks.csv,csv,29,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_results_5_1_descriptive_statistics.csv,csv,7,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_results_5_2_vif_diagnostics.csv,csv,16,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_simple_humor_intensity_bin_descriptives.csv,csv,6,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_simple_humor_intensity_diagnostics.csv,csv,30,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_simple_humor_intensity_monthly_audit.csv,csv,80,,,,,no,no explicit H1 presence label column
20260615wendy's/result/wendys_simple_humor_intensity_quarterly_audit.csv,csv,28,,,,,no,no explicit H1 presence label column
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template.csv,csv,500,유머_존재여부,본문,트윗_ID;트윗_URL,작성일시,no,"model prediction or aggregate output, not direct human/final label source"
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder1_labeling_template_batch2.csv,csv,500,유머_존재여부,본문,트윗_ID;트윗_URL,작성일시,no,"model prediction or aggregate output, not direct human/final label source"
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder2_labeling_template.csv,csv,500,유머_존재여부,본문,트윗_ID;트윗_URL,작성일시,no,"model prediction or aggregate output, not direct human/final label source"
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder2_labeling_template_batch2.csv,csv,500,유머_존재여부,본문,트윗_ID;트윗_URL,작성일시,no,"model prediction or aggregate output, not direct human/final label source"
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder3_labeling_template.csv,csv,500,유머_존재여부,본문,트윗_ID;트윗_URL,작성일시,no,"model prediction or aggregate output, not direct human/final label source"
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder3_labeling_template_batch2.csv,csv,500,유머_존재여부,본문,트윗_ID;트윗_URL,작성일시,no,"model prediction or aggregate output, not direct human/final label source"
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder_assignment_summary_by_coder.csv,csv,4,,,,,no,no explicit H1 presence label column
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder_assignment_summary_by_coder_batch2.csv,csv,4,,,,,no,no explicit H1 presence label column
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder_assignment_summary_by_stratum.csv,csv,9,,,,,no,no explicit H1 presence label column
20260618expand/classifier_improvement/data/human_labeling_template/coder_splits/coder_assignment_summary_by_stratum_batch2.csv,csv,8,,,,,no,no explicit H1 presence label column
20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template.csv,csv,1500,,text,tweet_id;tweet_url,created_at,no,no explicit H1 presence label column
20260618expand/classifier_improvement/h1_presence_only/expanded_h1_presence_model_comparison/diagnostics/wendys_leakage_feature_diagnostic.csv,csv,16,,,,,no,no explicit H1 presence label column
20260618expand/classifier_improvement/h1_presence_only/expanded_h1_presence_model_comparison/results/wendys_held_out_confusion_matrix.csv,csv,4,,,,,no,no explicit H1 presence label column
20260618expand/classifier_improvement/h1_presence_only/expanded_h1_presence_model_comparison/results/wendys_held_out_metrics.csv,csv,1,,,,,no,no explicit H1 presence label column
20260618expand/model_transfer/data/classified/fortune100_wendys_model_humor_classification.csv,csv,65245,,text,tweet_id;tweet_url,created_at,no,no explicit H1 presence label column
