variant,class_label,token,feature,weight,rank_abs_weight,leakage_flag
mask_wendys_brand,affiliative,wendys,word__wendysspicynuggs,-0.035525,1,FAIL
mask_wendys_brand,affiliative,wendys,word__verified wendysspicynuggs,-0.024977,2,FAIL
mask_wendys_brand,affiliative,frosty,word__frosty,-0.066716,1,FAIL
mask_wendys_brand,affiliative,frosty,word__vanilla frosty,-0.029809,2,FAIL
mask_wendys_brand,affiliative,frosty,word__mints frosty,-0.021099,3,FAIL
mask_wendys_brand,affiliative,baconator,word__baconator,0.034989,1,FAIL
mask_wendys_brand,affiliative,baconator,word__breakfast baconator,-0.0004,2,FAIL
mask_wendys_brand,affiliative,baconator,word__baconator with,0.00018,3,FAIL
mask_wendys_brand,affiliative,nuggs,word__wendysspicynuggs,-0.035525,1,FAIL
mask_wendys_brand,affiliative,nuggs,word__verified wendysspicynuggs,-0.024977,2,FAIL
mask_wendys_brand,affiliative,nuggs,word__spicy nuggs,-0.020697,3,FAIL
mask_wendys_brand,affiliative,nuggets,word__4pc nuggets,0.020382,1,FAIL
mask_wendys_brand,affiliative,nuggets,word__nuggets,0.014078,2,FAIL
mask_wendys_brand,affiliative,nuggets,word__spicy nuggets,0.006798,3,FAIL
mask_wendys_brand,affiliative,spicy nuggets,word__spicy nuggets,0.006798,1,FAIL
mask_wendys_brand,affiliative,dave,word__dave,-0.047318,1,FAIL
mask_wendys_brand,affiliative,dave,word__dave single,-0.022007,2,FAIL
mask_wendys_brand,affiliative,dave,word__free dave,0.002028,3,FAIL
mask_wendys_brand,affiliative,breakfast baconator,word__breakfast baconator,-0.0004,1,FAIL
mask_wendys_brand,affiliative,burger king,word__burger king,-0.032905,1,FAIL
mask_wendys_brand,affiliative,mcdonald,word__mcdonald,-0.035149,1,FAIL
mask_wendys_brand,affiliative,mcdonald,word__mcdonald announced,-0.022071,2,FAIL
mask_wendys_brand,affiliative,clown,word__clowns,-0.008793,1,FAIL
mask_wendys_brand,affiliative,roast,word__nationalroastday,-0.092845,1,FAIL
mask_wendys_brand,affiliative,roast,char__roast,-0.048134,2,FAIL
mask_wendys_brand,affiliative,roast,word__roasting,-0.02774,3,FAIL
mask_wendys_brand,affiliative,roasting,word__roasting,-0.02774,1,FAIL
mask_wendys_brand,affiliative,free,word__free drink,-0.036495,1,FAIL
mask_wendys_brand,affiliative,free,word__freedom,0.034905,2,FAIL
mask_wendys_brand,affiliative,free,word__free medium,-0.028581,3,FAIL
mask_wendys_brand,affiliative,app,word__happy,0.124041,1,FAIL
mask_wendys_brand,affiliative,app,char__happ,0.085755,2,FAIL
mask_wendys_brand,affiliative,app,char__ happ,0.082975,3,FAIL
mask_wendys_brand,affiliative,drive thru,word__drive thru,0.007943,1,FAIL
mask_wendys_brand,affiliative,breakfast,word__with breakfast,0.031822,1,FAIL
mask_wendys_brand,affiliative,breakfast,word__off breakfast,0.031789,2,FAIL
mask_wendys_brand,affiliative,breakfast,word__breakfast sandwich,-0.030134,3,FAIL
mask_wendys_brand,affiliative,fries,word__free fries,0.027749,1,FAIL
mask_wendys_brand,affiliative,fries,word__soggy fries,-0.027281,2,FAIL
mask_wendys_brand,affiliative,fries,word__fries for,0.027107,3,FAIL
mask_wendys_brand,affiliative,chicken sandwich,word__chicken sandwich,0.011011,1,FAIL
mask_wendys_brand,affiliative,nuggets,word__4pc nuggets,0.020382,1,FAIL
mask_wendys_brand,affiliative,nuggets,word__nuggets,0.014078,2,FAIL
mask_wendys_brand,affiliative,nuggets,word__spicy nuggets,0.006798,3,FAIL
mask_wendys_brand,affiliative,deal,char__ deal,-0.012873,1,FAIL
mask_wendys_brand,affiliative,deal,word__big deal,-0.012583,2,FAIL
mask_wendys_brand,affiliative,deal,word__the deals,-0.011211,3,FAIL
mask_wendys_brand,affiliative,offer,char__offer,0.012516,1,FAIL
mask_wendys_brand,affiliative,offer,word__offering,0.005127,2,FAIL
mask_wendys_brand,affiliative,offer,word__offer,-0.004034,3,FAIL
mask_wendys_brand,self-enhancing,wendy,word__wendysspicynuggs,0.056281,1,FAIL
mask_wendys_brand,self-enhancing,wendy,word__verified wendysspicynuggs,0.038862,2,FAIL
mask_wendys_brand,self-enhancing,wendys,word__wendysspicynuggs,0.056281,1,FAIL
mask_wendys_brand,self-enhancing,wendys,word__verified wendysspicynuggs,0.038862,2,FAIL
mask_wendys_brand,self-enhancing,wendy,word__wendysspicynuggs,0.056281,1,FAIL
