fortune_rank,company_name,official_x_handle,folder,attempted,status,posts_collected,error_type,error_message,started_at,completed_at
37,Comcast,@comcast,data/raw/fortune_x_2025_ranked/037_comcast,true,success,15,,,2026-06-12T16:46:11.028144+00:00,2026-06-12T16:46:17.024303+00:00
38,Wells Fargo,@wellsfargo,data/raw/fortune_x_2025_ranked/038_wells_fargo,true,success,15,,,2026-06-12T16:47:03.608028+00:00,2026-06-12T16:47:09.802093+00:00
39,Morgan Stanley,@morganstanley,data/raw/fortune_x_2025_ranked/039_morgan_stanley,true,success,15,,,2026-06-12T16:47:46.587575+00:00,2026-06-12T16:47:52.615763+00:00
40,Valero Energy,@valeroenergy,data/raw/fortune_x_2025_ranked/040_valero_energy,true,success,15,,,2026-06-12T16:48:27.375986+00:00,2026-06-12T16:48:35.218053+00:00
41,Dell Technologies,@Dell,data/raw/fortune_x_2025_ranked/041_dell_technologies,true,success,15,,,2026-06-12T16:49:22.587208+00:00,2026-06-12T16:49:28.746540+00:00
42,Target,@target,data/raw/fortune_x_2025_ranked/042_target,true,success,15,,,2026-06-12T16:50:04.688209+00:00,2026-06-12T16:50:10.969182+00:00
43,Tesla,@tesla,data/raw/fortune_x_2025_ranked/043_tesla,true,success,15,,,2026-06-12T16:50:04.742924+00:00,2026-06-12T16:50:11.563598+00:00
44,Walt Disney,@Disney,data/raw/fortune_x_2025_ranked/044_walt_disney,true,success,15,,,2026-06-12T16:50:52.346083+00:00,2026-06-12T16:50:59.666971+00:00
45,Johnson & Johnson,@JNJNews,data/raw/fortune_x_2025_ranked/045_johnson_johnson,true,success,15,,,2026-06-12T16:50:45.044410+00:00,2026-06-12T16:50:50.748681+00:00
46,PepsiCo,@pepsico,data/raw/fortune_x_2025_ranked/046_pepsico,true,success,15,,,2026-06-12T16:51:29.489762+00:00,2026-06-12T16:51:37.433018+00:00
47,Boeing,@boeing,data/raw/fortune_x_2025_ranked/047_boeing,true,success,15,,,2026-06-12T16:51:37.315786+00:00,2026-06-12T16:51:43.602914+00:00
48,UPS,@ups,data/raw/fortune_x_2025_ranked/048_ups,true,success,15,,,2026-06-12T16:52:16.896104+00:00,2026-06-12T16:52:23.203654+00:00
49,RTX,@RTX_News,data/raw/fortune_x_2025_ranked/049_rtx,true,success,15,,,2026-06-12T16:52:24.732643+00:00,2026-06-12T16:52:30.568098+00:00
50,FedEx,@fedex,data/raw/fortune_x_2025_ranked/050_fedex,true,success,15,,,2026-06-12T16:52:58.939497+00:00,2026-06-12T16:53:05.052362+00:00
51,Progressive,@progressive,data/raw/fortune_x_2025_ranked/051_progressive,true,success,15,,,2026-06-12T16:53:45.251410+00:00,2026-06-12T16:53:50.862047+00:00
52,Lowe's,@lowes,data/raw/fortune_x_2025_ranked/052_lowe_s,true,success,15,,,2026-06-12T16:53:43.803450+00:00,2026-06-12T16:53:50.127377+00:00
