tweet_id,company_name,source_x_handle,period,year,month,log_total_engagement,humor_type,aggressive_humor,affiliative_humor,self_enhancing_humor,self_defeating_humor,non_humorous,text_length,hashtag_count,mention_count,h2_sample_inclusion_flag
1938211184869572713,Amazon,@amazon,2025-06,2025,06,6.526495,non_humorous,0,0,0,0,1,201,0,0,1
2029587747980103838,Amazon,@amazon,2026-03,2026,03,7.588324,non_humorous,0,0,0,0,1,73,0,0,1
1900228130721456152,Amazon,@amazon,2025-03,2025,03,5.796058,affiliative,0,1,0,0,0,203,0,2,1
2034510916465869188,Amazon,@amazon,2026-03,2026,03,3.135494,non_humorous,0,0,0,0,1,23,0,0,1
2034677310486716892,Amazon,@amazon,2026-03,2026,03,3.091042,non_humorous,0,0,0,0,1,140,0,1,1
1902752855334990195,Amazon,@amazon,2025-03,2025,03,4.369448,non_humorous,0,0,0,0,1,309,2,0,1
2037231672135983330,Amazon,@amazon,2026-03,2026,03,5.093750,non_humorous,0,0,0,0,1,315,0,0,1
2037255532055253438,Amazon,@amazon,2026-03,2026,03,2.944439,non_humorous,0,0,0,0,1,140,0,1,1
2052391393213976872,Amazon,@amazon,2026-05,2026,05,5.572154,non_humorous,0,0,0,0,1,598,0,2,1
2052427102650249523,Amazon,@amazon,2026-05,2026,05,3.931826,non_humorous,0,0,0,0,1,140,0,1,1
2052427580356362596,Amazon,@amazon,2026-05,2026,05,3.713572,non_humorous,0,0,0,0,1,139,0,1,1
1925658833256403191,Amazon,@amazon,2025-05,2025,05,5.886104,non_humorous,0,0,0,0,1,408,0,2,1
1925658836683100622,Amazon,@amazon,2025-05,2025,05,4.418841,non_humorous,0,0,0,0,1,41,0,0,1
1793662739145224454,Amazon,@amazon,2024-05,2024,05,5.513429,non_humorous,0,0,0,0,1,1293,2,1,1
1793662740881674657,Amazon,@amazon,2024-05,2024,05,5.176150,non_humorous,0,0,0,0,1,66,0,0,1
1796156542254809147,Amazon,@amazon,2024-05,2024,05,4.442651,non_humorous,0,0,0,0,1,23,0,0,1
1986440087182184590,Amazon,@amazon,2025-11,2025,11,4.290459,non_humorous,0,0,0,0,1,23,0,0,1
1857169504943657333,Amazon,@amazon,2024-11,2024,11,4.762174,non_humorous,0,0,0,0,1,23,0,0,1
1725214308337140035,Amazon,@amazon,2023-11,2023,11,7.632886,non_humorous,0,0,0,0,1,473,0,1,1
1725215265510555970,Amazon,@amazon,2023-11,2023,11,5.192957,non_humorous,0,0,0,0,1,140,0,1,1
1991629673185575053,Amazon,@amazon,2025-11,2025,11,5.192957,non_humorous,0,0,0,0,1,90,0,2,1
1859559917440368976,Amazon,@amazon,2024-11,2024,11,6.799056,non_humorous,0,0,0,0,1,250,0,0,1
1841704735725773225,Amazon,@amazon,2024-10,2024,10,5.545177,non_humorous,0,0,0,0,1,164,0,0,1
1841705029784502557,Amazon,@amazon,2024-10,2024,10,3.610918,non_humorous,0,0,0,0,1,140,0,1,1
